Date,Price,Open,High,Low,Vol. (Millions),Change %
12/29/2023,47.71,47.77,47.94,47.6,63.19,-0.54%
12/28/2023,47.97,48.17,48.23,47.81,61.25,-0.33%
12/27/2023,48.13,47.92,48.38,47.74,69.86,0.17%
12/22/2023,48.05,47.3,48.06,47.16,84.43,1.82%
12/21/2023,47.19,46.92,47.23,46.69,78.17,-0.59%
12/20/2023,47.47,47.44,47.85,46.84,148.94,1.58%
12/19/2023,46.73,46.8,46.98,46.58,71.35,-0.57%
12/18/2023,47,46.87,47.3,46.58,102.89,-0.04%
12/15/2023,47.02,48.03,48.15,46.95,256.59,-1.09%
12/14/2023,47.54,46.65,48.07,46.39,267.32,2.92%
12/13/2023,46.19,45.97,46.47,45.91,162.42,0.63%
12/12/2023,45.9,46.23,46.53,45.56,153.99,-0.48%
12/11/2023,46.12,46.28,46.42,45.41,102.13,-0.47%
12/8/2023,46.34,46.28,46.7,45.37,218.16,1.36%
12/7/2023,45.72,45.38,45.8,45.18,122.43,-0.17%
12/6/2023,45.8,44.73,46.03,44.73,171.34,1.76%
12/5/2023,45.01,44.6,45.17,44.58,103.68,-0.27%
12/4/2023,45.13,44.76,45.19,44.14,187.18,1.44%
12/1/2023,44.49,43.66,44.51,43.61,131.54,2.35%
11/30/2023,43.47,43.44,43.81,43.07,221.83,0.05%
11/29/2023,43.45,42.3,43.6,42.16,104.12,2.36%
11/28/2023,42.45,42.39,42.58,42.14,92.24,0.95%
11/27/2023,42.05,42.38,42.83,41.99,53.39,-1.01%
11/24/2023,42.48,42.02,42.62,42.02,110.59,0.33%
11/23/2023,42.34,42.14,42.63,42.02,95.43,0.09%
11/22/2023,42.3,42.62,42.92,42.24,60.25,-0.59%
11/21/2023,42.55,42.8,43.27,42.38,80.63,-1.16%
11/20/2023,43.05,43.33,43.51,42.69,61.27,-0.76%
11/17/2023,43.38,42.77,43.52,42.41,122.18,1.43%
11/16/2023,42.77,42.97,43.34,42.57,247.79,-0.74%
11/15/2023,43.09,42.52,43.27,42.48,124.25,1.96%
11/14/2023,42.26,41.97,42.34,41.45,121.69,0.57%
11/13/2023,42.02,42.02,42.22,41.76,57.70,0.65%
11/10/2023,41.75,42.16,42.2,41.49,330.03,-1.25%
11/9/2023,42.28,41.91,42.54,41.7,71.74,0.69%
11/8/2023,41.99,41.68,42.2,41.5,89.89,-0.14%
11/7/2023,42.05,42.1,42.59,41.91,68.30,-0.19%
11/6/2023,42.13,42.43,42.59,42.01,58.24,-0.73%
11/3/2023,42.44,42,42.82,41.48,113.90,1.60%
11/2/2023,41.77,40.34,41.86,39.8,278.16,4.03%
11/1/2023,40.15,40,40.52,39.79,75.71,0.53%
10/31/2023,39.94,40.17,40.38,39.87,107.51,-0.22%
10/30/2023,40.03,39.78,40.55,39.74,113.70,0.68%
10/27/2023,39.76,40.76,40.93,39.6,145.13,-3.42%
10/26/2023,41.17,41.41,41.51,40.6,161.49,-0.70%
10/25/2023,41.46,40.88,41.65,39.54,175.64,2.17%
10/24/2023,40.58,40,40.93,39.42,117.05,-2.00%
10/23/2023,41.41,41.62,41.87,41.17,79.57,-0.43%
10/20/2023,41.59,41.55,42.04,41.35,205.99,-0.69%
10/19/2023,41.88,42.68,43.22,41.88,135.29,-2.26%
10/18/2023,42.85,44,44,42.85,84.22,-2.17%
10/17/2023,43.8,43.8,44.03,43.41,116.52,0.67%
10/16/2023,43.51,43.41,43.81,43.24,70.90,0.65%
10/13/2023,43.23,43.7,43.85,42.79,139.83,-0.44%
10/12/2023,43.42,43.06,43.66,42.99,146.74,0.35%
10/11/2023,43.27,43.19,43.59,43.02,87.14,-0.23%
10/10/2023,43.37,42.52,43.63,41.87,94.46,2.99%
10/9/2023,42.11,42.31,42.66,42,166.93,-1.20%
10/6/2023,42.62,42.18,42.91,41.87,65.77,1.07%
10/5/2023,42.17,42.52,42.59,42.04,96.67,-0.68%
10/4/2023,42.46,42.45,42.99,42.2,249.14,-0.82%
10/3/2023,42.81,43.03,43.5,42.67,66.99,-1.06%
10/2/2023,43.27,44.42,44.69,43.27,85.91,-2.48%
9/29/2023,44.37,44.45,44.85,44.22,85.10,0.25%
9/28/2023,44.26,44.7,44.7,43.78,98.87,-0.70%
9/27/2023,44.57,44.84,45.3,44.28,133.05,-0.78%
9/26/2023,44.92,44.77,44.92,44.44,94.93,0.38%
9/25/2023,44.75,45,45.48,44.44,103.69,-1.30%
9/22/2023,45.34,44.34,46.05,44.24,298.94,2.07%
9/21/2023,44.42,44.17,45.59,44.13,209.86,-0.31%
9/20/2023,44.56,43,44.7,42.96,258.50,3.87%
9/19/2023,42.9,41.97,42.9,41.63,167.99,1.76%
9/18/2023,42.16,43.16,43.22,42.09,75.16,-2.41%
9/15/2023,43.2,43.52,43.7,43.07,375.54,-0.07%
9/14/2023,43.23,42.63,43.35,42.38,153.61,1.48%
9/13/2023,42.6,42.74,42.89,42.48,97.36,0.28%
9/12/2023,42.48,41.95,42.49,41.66,157.18,2.16%
9/11/2023,41.58,41.6,41.98,41.28,149.12,0.58%
9/8/2023,41.34,41.06,41.41,40.7,126.52,0.76%
9/7/2023,41.03,41.2,41.67,41.03,62.16,-1.11%
9/6/2023,41.49,41.46,41.7,41.23,83.67,-0.65%
9/5/2023,41.76,41.69,42.26,41.47,52.60,-0.52%
9/4/2023,41.98,42.32,42.58,41.8,52.76,-0.33%
9/1/2023,42.12,42.4,42.58,42.07,304.42,-0.54%
8/31/2023,42.35,42.96,43.22,42.35,225.10,-1.12%
8/30/2023,42.83,43.09,43.58,42.8,103.74,-0.19%
8/29/2023,42.91,42.17,42.96,42.17,177.66,2.66%
8/25/2023,41.8,42.11,42.51,41.73,69.69,-0.78%
8/24/2023,42.13,42.34,42.63,42.03,85.48,0.62%
8/23/2023,41.87,41.91,42.25,41.76,113.40,0.34%
8/22/2023,41.73,42.34,42.4,41.73,158.28,-0.86%
8/21/2023,42.09,42.07,42.71,42.07,104.57,-0.36%
8/18/2023,42.24,42.25,42.62,41.95,116.03,-0.40%
8/17/2023,42.41,41.99,42.67,41.96,101.30,0.76%
8/16/2023,42.09,42.27,42.42,42.02,152.68,-0.92%
8/15/2023,42.48,42.76,42.97,42.23,88.34,-0.84%
8/14/2023,42.84,42.81,43.08,42.69,551.18,-0.26%
8/11/2023,42.95,42.92,43.2,42.72,88.14,-0.12%
8/10/2023,43,43.02,43.27,42.88,146.85,0.51%
8/9/2023,42.78,43.2,43.43,42.7,332.47,0.21%
8/8/2023,42.69,42.89,43.16,42.31,143.32,-1.11%
8/7/2023,43.17,43.26,43.49,42.91,96.74,0.07%
8/4/2023,43.14,43.14,43.27,42.73,81.53,0.51%
8/3/2023,42.92,42.2,43.19,41.96,334.68,-0.79%
8/2/2023,43.26,43.68,44.08,43.13,139.47,-2.44%
8/1/2023,44.34,44.6,44.92,44.23,90.13,-1.34%
7/31/2023,44.94,45.06,45.3,44.85,97.52,-0.40%
7/28/2023,45.12,44.87,45.47,44.81,184.03,0.16%
7/27/2023,45.05,45.19,45.73,44.9,122.91,-0.62%
7/26/2023,45.33,44.26,45.46,43.7,267.84,-1.65%
7/25/2023,46.09,45.98,46.43,45.78,81.60,0.09%
7/24/2023,46.05,45.48,46.05,45.31,60.83,0.44%
7/21/2023,45.85,46.41,46.58,45.79,103.75,-1.06%
7/20/2023,46.34,46.77,47.02,46.1,109.73,-0.77%
7/19/2023,46.7,46.76,47.12,46.18,150.55,2.21%
7/18/2023,45.69,44.99,45.83,44.74,89.27,1.90%
7/17/2023,44.84,44.21,45.05,44.14,74.73,1.08%
7/14/2023,44.36,44.66,44.84,44.36,122.89,-0.83%
7/13/2023,44.73,44.38,44.85,44.08,91.88,0.47%
7/12/2023,44.52,43.55,44.89,43.48,215.93,2.65%
7/11/2023,43.37,42.98,43.37,42.72,215.76,0.74%
7/10/2023,43.05,42.98,43.34,42.9,70.44,-0.09%
7/7/2023,43.09,43.21,43.27,42.69,77.21,-0.48%
7/6/2023,43.3,43.35,44.01,43.03,192.94,-1.21%
7/5/2023,43.83,43.7,44.27,43.52,168.32,-0.11%
7/4/2023,43.88,44.33,44.44,43.88,133.41,-0.79%
7/3/2023,44.23,43.91,44.37,43.88,74.26,1.47%
6/30/2023,43.59,43.21,44.1,42.93,159.23,1.92%
6/29/2023,42.77,42.65,43,42.5,144.06,0.28%
6/28/2023,42.65,42.55,42.8,42.27,130.26,0.35%
6/27/2023,42.5,42.05,42.7,42.04,162.69,1.29%
6/26/2023,41.96,42.03,42.19,41.24,287.36,-0.85%
6/23/2023,42.32,42.66,42.76,42.17,171.27,-1.37%
6/22/2023,42.91,43.28,43.56,42.91,181.30,-1.90%
6/21/2023,43.74,43.83,44.48,43.42,193.13,-2.39%
6/20/2023,44.81,45,45.16,44.76,126.24,-0.51%
6/19/2023,45.04,44.87,45.14,44.84,121.86,-0.02%
6/16/2023,45.05,45.11,45.18,44.76,380.77,0.22%
6/15/2023,44.95,45.23,45.23,44.78,144.81,-0.73%
6/14/2023,45.28,45.35,45.38,45.01,142.08,-0.04%
6/13/2023,45.3,45.05,45.4,44.76,266.90,0.71%
6/12/2023,44.98,45.41,45.56,44.98,116.11,-0.64%
6/9/2023,45.27,45.5,45.77,45.19,79.61,-0.13%
6/8/2023,45.33,45.73,45.96,45.27,84.44,-0.40%
6/7/2023,45.51,45.4,45.79,45.11,122.81,0.75%
6/6/2023,45.17,44.56,45.45,44.15,210.46,0.98%
6/5/2023,44.73,45.77,45.87,44.53,93.50,-1.58%
6/2/2023,45.45,44.78,45.5,44.68,98.54,1.77%
6/1/2023,44.66,44.49,45.5,44.04,338.56,1.11%
5/31/2023,44.17,45.08,45.39,44.17,363.49,-2.32%
5/30/2023,45.22,45.22,46.02,44.94,259.65,-0.64%
5/26/2023,45.51,46,46.09,45.3,217.96,-0.70%
5/25/2023,45.83,46.44,47.18,45.83,229.96,-2.01%
5/24/2023,46.77,47.22,47.46,46.6,349.52,-1.72%
5/23/2023,47.59,47.16,47.59,46.88,144.15,1.38%
5/22/2023,46.94,46.77,47.02,46.62,352.88,0.47%
